id_cliente;id_estandar;nombre_cliente;debe;haber;deudor;acreedor;activo;pasivo;perdida;ganancia;;
21052111;2.01.40.00;CTA CTE NO MONETARIA POR PAGAR COMERCIAL E IMPORTADORA AUDIOMUSICA SPA;5000000;5000000;0;0;0;0;0;0;0;0
21061001;2.01.51.00;PROVISIÓN POR VACACIONES DEL PERSONAL DEVENGADAS;28789591;360391272;0;331601681;0;331601681;0;0;0;0
21061002;2.01.54.00;PROVISIONES VARIAS;1387479368;1811722896;0;424243528;0;424243528;0;0;0;-424243528
21062001;2.01.54.00;PROVISIÓN POR COSTO DE VENTAS;1656572306;1482923954;173648352;0;173648352;0;0;0;0;173648352
21063001;2.01.54.00;PROVISIÓN POR VENTAS ANTICIPADAS;28769003;29098397;0;329394;0;329394;0;0;0;-329394
21063003;2.01.99.00;VENTAS POR DEVENGAR;107119787;119583669;0;12463882;0;12463882;0;0;0;-12463882
21071001;2.01.59.00;I.V.A. DÉBITO FISCAL;6022638723;6022638723;0;0;0;0;0;0;0;0
21071003;2.01.61.00;IMPUESTOS MENSUALES POR PAGAR;1717405227;1743817972;0;26412745;0;26412745;0;0;0;-26412745
21081001;2.01.55.00;RETENCIÓN IMPUESTO ÚNICO A LOS TRABAJADORES;259583618;259583618;0;0;0;0;0;0;0;0
21081002;2.01.55.00;RETENCIÓN IMPUESTO DE 2A. CATEGORÍA HONORARIOS;4458929;4458929;0;0;0;0;0;0;0;0
21081003;2.01.55.00;COTIZACIONES PREVISIONALES POR PAGAR;650500865;739090445;0;88589580;0;88589580;0;0;0;-88589580
21081004;2.01.55.00;OTRAS RETENCIONES;5101768;5186762;0;84994;0;84994;0;0;0;-84994
21081005;2.01.99.00;IMPUESTO ADICIONAL;41883820;46560670;0;4676850;0;4676850;0;0;0;-4676850
21081006;2.01.99.00;RETENCION 3% HONORARIOS;221815;221815;0;0;0;0;0;0;0;0
21081007;2.01.99.00;RETENCION 3% IMPTO UNICO;7565850;7565850;0;0;0;0;0;0;0;0
21082001;2.02.07.00;REMUNERACIONES POR PAGAR;2639529210;2786926341;0;147397131;0;147397131;0;0;0;-147397131
21082002;2.01.01.00;HONORARIOS POR PAGAR;22493428;22977587;0;484159;0;484159;0;0;0;-484159
21082003;2.01.01.00;CUOTA SINDICAL POR PAGAR;3459000;3883000;0;424000;0;424000;0;0;0;-424000
22011001;2.01.04.00;PRESTAMOS BANCARIOS CLP LARGO PLAZO;1013609661;11060771483;0;10047161822;0;10047161822;0;0;0;-10047161822
22011003;2.02.07.00;INTERESES BANCARIOS LP NO DEVENGADOS CLP;1738654477;440101334;1298553143;0;1298553143;0;0;0;0;1494970553
22022001;2.01.01.00;OTROS ACREEDORES VARIOS A LARGO PLAZO;0;99265644;0;99265644;0;99265644;0;0;0;-99265644
31011001;2.03.02.00;ACCIONES;0;8082464670;0;8082464670;0;8082464670;0;0;0;0
31011004;2.03.04.00;CAPITAL CONVERGENCIA IFRS;30285757;0;30285757;0;30285757;0;0;0;0;0
31031001;2.03.04.00;FONDO FUTURAS CAPITALIZACIONES;439164;0;439164;0;439164;0;0;0;0;0
31032001;2.03.02.00;RESERVA SUPERAVIT REVALUACIÓN;0;862787869;0;862787869;0;862787869;0;0;0;0
31032002;2.03.04.00;OTRAS RESERVAS INVERSION EMPRESAS RELACIONADAS;200841673;223408908;0;22567235;0;22567235;0;0;0;0
31041001;2.03.06.00;UTILIDADES ACUMULADAS;7158222286;0;7158222286;0;7158222286;0;0;0;0;0
31041004;2.03.06.00;UTILIDAD (PÉRDIDA) DEL EJERCICIO;2361791367;2361791367;0;0;0;0;0;0;0;0
31041005;2.03.06.00;UTILIDAD ACUMULADA IFRS;0;85588173;0;85588173;0;85588173;0;0;0;0
41011001;3.01.01.00;VENTAS;1157091670;27975611011;0;26818519341;0;0;0;26818519341;1657;0
51011001;3.05.10.00;COSTOS DE VENTAS;16700221833;1135179782;15565042051;0;0;0;15565042051;0;1671;0
61011001;3.01.03.00;SUELDO BASE;2428626991;181333;2428445658;0;0;0;2428445658;0;1662;0
61011002;3.01.03.00;GRATIFICACIÓN;301426705;0;301426705;0;0;0;301426705;0;1671;0
61011003;3.05.10.00;COMISIONES Y SEMANA CORRIDA;511309366;0;511309366;0;0;0;511309366;0;1671;0
61011004;3.05.10.00;INDEMNIZACIONES Y DESAHUCIOS;221003383;0;221003383;0;0;0;221003383;0;1671;0
61011005;3.05.10.00;MOVILIZACIÓN;93594376;0;93594376;0;0;0;93594376;0;1671;0
61011006;3.05.10.00;COLACIÓN;130696466;188824;130507642;0;0;0;130507642;0;1671;0
